,cleaned_tweet,label
76,aint shit damn skippy lol,1
77,ever kill ant sidewalk think damn nigga way get pussyno must gtchance,1
78,ring mvp bitch lol,1
79,ppl talk bad ghettohood kid growing nigga funnnnnnn,1
80,fact tattoostattoo pussy tattooing nipple,1
81,bitch wanting act like nigga bad shit aint cuteeeee nigga act like bitch,1
82,get worshiping bitch woof woof,1
83,wow lost buttcheek piercings yeah shes hoe,1
84,shed rather broke bitch shrug shell tell work,1
85,queer gaywad,0
86,faggot read tweet dat wasnt even funny lol,1
87,bitch ungrateful lulwhore,1
88,kidnapped bitch,1
89,alsarabsss beaner smh tell mexican,0
90,happy birthday nigs thanks,1
91,teacher tell homework bitch need,1
92,nigga eating hoe lol hell yea lol john paul nigga said john paul,1
93,would yall lil ugly bald headed bitch stop making makeup amp weave,1
94,leaf better win damn game riot shit better start looting nig,1
95,going back school suck dick hoe attend,1
96,way fuck bitch year old,1
97,come never bring food dont car retard,1
98,richnow doesnt show hella tinder hoe friend anymore chill brought like like prople,1
99,bout cowboy shutup pussy,1
100,lmaooooooooooo nigga ltbitch want like depressing shitfoh,1
101,girl know spitting shit amp going lbvsbitch plz,1
102,let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick,1
103,harlem shake excuse full retard second,1
104,amen miley dont need act like hoe shes emotionally damaged foh,1
105,one loyal female wayyyyy better hoe idc,1
106,pussy licking pussy meow meow,1
107,check man even faggot fan stand,1
108,happen vixen ent bitch got ran threw side like foothill bitch,1
109,bitch okay nude pat wow,1
110,youre fucking gay blacklisted hoe holding anyway,0
111,fuck wrong bitch nobody know,1
112,yall shut upp make bitch,1
113,hate pregnant type bitch,1
114,got bitch dont ever readem top,1
115,baseball season win love started,2
116,little stupid bitch dont fuck yoooooouuuu,1
117,really asked dead serious tho could say bitch wheet lol,1
118,early bird night owl wise worm,2
119,overdosing heavy drug doesnt sound bad tonight pussy shit every day,2
120,pit bull photographed lovely fairy tale creature fairy tale creature,2
121,fag dont tweet lol,1
122,long lakers trash could careless thats real hahaha,2
123,didnt say anything tho kiss faggot,1
124,play soccer cheat girl wear khaki coloured cargo haircut yup,2
125,could fat bitch lap,1
126,missed call bitch twitter finna screamn,1
127,side bitch got know rule shitanybody ask cousin jersey thinkin bout moving lmmfao,1
128,amo los pie fuck yeah,1
129,hoe thinking meat wont slap ainna bruh,1
130,yall bitch wit edge talking,1
131,yall still going trick treating year nahhell yeah ima sweet tooth bandit steal bitch bag shit,1
132,wan sex mom fuck right pussy came damn got hacked like fuck,1
133,kiss eye open watch bitchlmfao,1
134,woulda coulda shoulda hoe,1
135,happy bday bitch nigga preciate bitch roll,1
136,used send bitch,1
137,ugly bitch like wcw duh bitch aint nobody elses,1
138,nigga know hacky sack hoe nah throw look pass lmao,1
139,glad getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin,1
140,isnt ghettoits smart idc,2
141,would wife hoe cuz wouldnt care cheating force relationship first place,1
142,single isnt excuse hoe,1
143,white boy power bitch black power bitch,1
144,let get drunk get blowed spit shit spark blunts amp fuck hoe bro white dude chill,1
145,bitch around world back,1
146,dont get dick sucked party bad bitch gone set,1
147,soooo cute probably hoe lot,1
148,every cartoon alway saving hoe lmao lmao damn captain saveahoe,1
149,want get nose bad bois hot sox leg,2
150,wish bitch like brother keezy ooooow bet,1
151,dressed cat halloween basic pussy,1
152,pornhub get gaming stream feature dumb bitch gtfo get katielt,1
153,stop scared choke sex bitch nigga shell like say guy hit woman bed foh,1
154,well iguess make hoe loyal bro theyll never loyal hoe nig,1
155,man molly fuck seed,1
156,youre man refer every girl bitch,1
157,lmfao cat started beating shit nigga finally got pussy nigga,1
158,peel peel bring back rewind back move shaq line ooooow said trash,2
159,alu record vine sai hahahaha lol anywaaaaaays haha,1
160,naw old tape new cover upcoming mixtape yeah waiting hoe mayne,1
161,dirty foot bitch funny,1
162,thats get yellow flag amazing hell yeah niggy,1
163,dont got time bitch actin iffy,1
164,come stay alive knight nation still early bird special,2
165,hoe aint loyal aint smfh amp wonder nobody decent want,1
166,bruh stud keep thinking soft hell ask girl many time screamed bitch okay stfu bye hoe,1
167,dry pussy bitch always blame condom,1
168,shut bitch,1
169,gucci mane jail dropping mixtapes every month hoe cant even text back,1
170,love hoe money wats wrong nigga,1
171,loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol,1
172,easy cum easy hoe thats fact,1
173,charlie sheen real major fucking respect charlie sheen,1
174,wish bae got hoe tho,1
175,fuck twerking bitch cook,1
176,bitch wtf,1
177,shut zoe fight pussy zoe good man good maam move along,1
178,lmao fucking snake bitch,1
179,big booty hoe everywhere sheesh damn,1
180,stay tuned update report week,2
181,play soccer cheat girl wear khaki coloured cargo haircut yes lmfao,2
182,oregon choke every year get field trash program rft,1
183,def cowboy lol terrell owen best eagle amp cowboy ever dude cried like bitch romo,1
184,lmfaoooo hate black people there black people nigger,0
185,could bitch potent,1
186,pissed lad past would lick dirty sol slept,2
187,love frat boy soft long sol,2
188,sexy lad hot sol arch,2
189,nah fam got cheat hoe depends female feel,1
190,got hick lol,2
191,new twitter confusing shit back south america bitch,1
192,toto mean vaginai think pussy cause toto santi like nasty pussy,1
193,actually choose ugly bitch must fat,1
194,bitch couldnt kill vibe tried dis love miley,1
195,tired bitch saying look mean nigga big wear tight shirt grim everybody,1
196,bird grandkids may never see thanks climate change,2
197,stay beautiful bitch,1
198,purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,1
199,money getting taller bitch getting blurry,1
200,aint never seen bitch obsessed nigga obsessed mine,1
201,kobe stay talking trash let forget meant one smh,1
202,least nigger lmfao,0
203,people always asking mixed bad asian bitch lol,1
204,ariza snake coward least isnt cripple like hero roach lmaoo,0
205,foster home imaginary trash whoa chill show everything,2
206,lowkey tired tired quiet sleep hoe,1
207,stop bringing weird nigger mention,1
208,dont love hoe,1
209,girl cant homeboy weak bitch nigga,1
210,think worst advice gave dont pussy speed lol,1
211,quote tweet favorite animalpussy,1
212,hate stripper tell theyre dancer hoe ballet dancer dont pop pussy beethoven stripper,1
213,andrewbryant poff double vision beer poff double pussy smh,1
214,bitch twerk computer damn,1
215,prince art nobody takin bitch,1
216,welfaregovernment aid claimed white people yall black slander trash,2
217,bitch dont care play role,1
218,took find hiding lime tree dis bitch wrong tree bro,1
219,drake new shoe released nikejordan yes there glitter shoe dude fag,0
220,inna ghetto alone lmaoo,2
221,hoe austin teach austini teach get curved thats know,2
222,bitch cant cook know suck dick one,1
223,fat hoe get chose lol,1
224,well theyre hoesno one expects loyal,1
225,bitch,1
226,bruh tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo,1
227,tony romo mavs game dont mean still bitch lmao fuk cowgirl lol bitch fuck,1
228,holy shit freddie highmore charlie chocolate factory roll floor laughing,1
229,dont want sex feel like using anonymous whata faggot,1
230,one follower somebody bitch dont,1
231,bitch always bitching clearly care annoying bitch,1
232,catfish hoe thinkin slick nigga catching,1
233,cant worry bitch aint worried bout,1
234,side hoe insecure nigga cant handle real one,1
235,lmao bitch come scooting tent like fuck shit,1
236,cousin said share hoe brother said sharing caring love brother,1
237,hungry ionn wan spend money foodbroke hoe problem,1
238,dese hoe lyin nigga,1
239,yeah fuck bitch,1
240,eli manning threw nflleading interception season lmao trash,2
241,usc senior anthony brown call head coach steve sarkisian racist quits team bitch,2
242,guess also zero time mansplaining adios stfu pussy,1
243,chilling sexy scally lad,2
244,aint sharing bitch mine mine,1
245,money impress simple broke bitch,1
246,never anybodys bitch dont let people control change rigghhht,1
247,tuku idk blah blah blah,2
248,mad cuh hahaha suure tuku ita,2
249,hoe crazy,1
250,aint ever gon slice bitch kevin hart,1
251,oomf fuckin fine tho dam dont bitch,1
252,wonder girl gave head boy drink magaluf twitter probly sends nude fag,1
253,yeah bitch yeah bitch call maybe steveo later jesse pinkman,1
254,hickies thigh right pussy gtgtgt right,1
255,would still love longer young beautiful ugly monkey,1
256,yall come frontbitch aint coming,1
257,faggot bitch,1
258,yea ipad dont work friday let ball faggot work,1
259,scally lad would get,2
260,halloween yesterday stupid nigger,0
261,chrus still supahot tho walk teacher test drop test bitch fohead,1
262,love eating pussy lol never get full lol eat shit forever lol ever,1
263,slush hoe nasty anyway famthem hoe taste like med,1
264,slush hoe nasty anyway fam,1
265,bobby bitchby getting live fuck hell yea play hoe workout,1
266,bitch gucci mane bitch stoner,1
267,ride bitch handle bar,1
268,aint hoe get traphoussseeeee,1
269,sad character death still bitter stark man,2
270,harbor bitch party bus hoe lol,1
271,pussy love,1
272,ultraviolence video coming little bitch lana del rey bitchy promo,1
273,way fuck bitch lmfao kittycopter,1
274,smuggler explains helped fighter along jihadi highway,2
275,aww avis look cute together got get ike avi bitch,1
276,simple dont hoedont worry exposed fight mewhy,1
277,why bitch boosting size isnt exactly healthy tho,1
278,bet bitch kim bye,1
279,damn near got protect tweet stalker annoying got dope dick drive bitch loco,1
280,making marack girlfriend aye pullin hoe like taught,1
281,bruno fag boy love,1
282,must bitch sike naw always beefing,1
283,look rally bottom,2
284,dont take advantage nice person hoe everyjuan,1
285,happy birthday bitch nigga thanks pal,1
286,sad knowing hoe wont fuck aint got stack wait till friday,1
287,cinco shit harder fucc niggayee fucc wit rich homie cuz dat homeboy fucc nicca,1
288,said last sundayas last sunday read nigs,1
289,punch real nigga face cause pussy nigga gon punch right back strong mush shake,1
290,pussy still fresh something stank girl say,1
291,slapping one greatest thing haha slapped girl got mad aint get pussy week,1
292,yeah texan much better fucking retard see youre mad,1
293,wtf dark bitch blonde please several seat hoe looking like blackampmilds,1
294,there lane bitch need stay left get right fuck outta face,1
295,hate boy deny bitch smh,1
296,nigs still saying yall dont eat butt straight face,1
297,bos bitch need sit corner,1
298,hoe cant,1
299,paul thinkin bout gettin rental weekend oooh shit bitch betta stay street,1
300,bitch hold nigga get locked nigga college military different story,1
301,friend hate ratchet hoe,1
302,love fuck nigga hoe,1
303,hot meat sexy fuck scally lad would love meet trainer,1
304,sniff perved scally lad fuck yeah,1
305,bitch love sosa,1
306,legit watched second wtf prob cause retarded smh,1
307,name cat idea pussy,1
308,woof woof sexy thug boy scally,1
309,see damn phone ringing married bitch make demand havent called,1
310,tevin favorite sophomore think funny really lmaoo little hoe,1
311,sex position call fucking soul outta bitch,1
312,bored supposed cute faggot sometimes,0
313,one man trash another man treasure,2
314,dont got type bad bitch thing like iongotnotype,1
315,lassen coach want feel youll get nig doubt,0
316,god teeth gold chain white bitch cocaine,1
317,hoe hoe shhhhh,1
318,call roller chiraq call thots across america known hoe,1
319,gon miss bitch bus driverno wont dont lie,1
320,hate bitch try put friendzone bitch tryin score put endzone soul,1
321,ashley young tried deny bird landed mouth hahaha,2
322,yall gimped aint tht bitch huh lol,1
323,take ride woof woof,2
324,god love victoria mitchell bitch love,1
325,long distance shit wack knew bitch cheating,1
326,right bitch smh,1
327,ban dat pussy life amp got pay millon dollar fine,1
328,rose red violet blue nigger black know thats true,1
329,sitting window sill window open bird try fly smacked,2
330,nigga gon nigga nigga sound fuckin retarded,1
331,video entire medium likely mock crybaby,2
332,even shy stfu kikis mom angelique angelique smile dip cracker soup,1
333,tim tebow got cut every team nfl already got hoe starkville smh,1
334,karma bitch sip tea,1
335,fuckin hot gym pussy fuck yeah,1
336,jihadi patron hajjaj alajmi arrested kuwait airport,2
337,call fireman cause turn hoe,1
338,could never bby lil dick thts got abortion last bitch god,1
339,watch woman try argue like dick actually fucked pussy hate bitch,1
340,smoke weed public fuck cop man wan dont run come retarded,1
341,tweety bird tho,2
342,pussy sweet like watermelon thotermelon,1
343,twitter rapper trash link,2
344,loud bitch annoy,1
345,eventually every bitch turn hoe truuu,1
346,swear oomf try talking tomorrow pussy,1
347,bitch pretending crazy aint never lied,1
348,bye hoe bye,1
349,jackies retard least make grilled cheese,0
350,ima keep giving pussy nigga reason hate,1
351,photo sole heaven,2
352,stacey dash baddest bitch evaaaa,0
353,side bitch sunday,1
354,fact baldheaded bitch made shit lmao,1
355,fuck wit tweakin hoe shmurda,1
356,actin like day spook,2
357,ill break lil bitch neck wont even feel sorry savage,1
358,fucking hot love kinky scallies,1
359,yall dumb nigga pressed hoe yall weak fuck fuck weed hoe oreo,1
360,turn bitch eaterrrrrrrrr,1
361,dont trust dese hoe nikki told stay fan screen shot asap finna come chiraq shoot sumn,1
362,aye yall ima tryout bowling team frfr tryout passed tho there two retard,1
363,got want bitch enjoy crazy party would love attend,1
364,colored contact eye blinder mine cause cant see lmao,2
365,fact dude hoe say dont got hoe,1
366,rea start smacking bitch period bluffin best,1
367,life bitch die thats get high cause neva know youre gon sister perfect,1
368,one drug youre still wrong hahahahahahah bitch sometimes,1
369,feeling pretty fuckin ghetto smh,1
370,swears man easily easily behind austin nip,2
371,true ride die bitch fuck hahahahah,1
372,hgwells charlie chaplin,2
373,see bruno bitch twitter wtf bruno see drake voice,1
374,cool faggot chill cool nigga,1
375,sure bitch frfr,1
376,twitter source news broadcast fucking retard nbc abc cnn fox etc keeping quiet,1
377,got couple bitch saying know ima let money talk like,1
378,grudge weirdosand bitch,1
379,told mariam cigarette birthday also called trash,2
380,brownie tonight kind,2
381,text back dont give fuck ill text another bitch damn someone hurt lol,1
382,ummmmmm okay got hoe left right yah thang,1
383,using ymxb find slope,1
384,fit lad nice gear scally lad trainer would get,2
385,hell yeah bro fuck yeah sexy scally lad hot gear,1
386,helping mate love scally play fuck yeah,1
387,lad lad fuck yeah love scally lad action hot trainer,1
388,next year bitch gon like got promise wont expose,1
389,hot lick bitch fuck yeah eat trainer dirty fucker,1
390,yall think celebrity pussy different local yeah meghan good,1
391,saw ajumma walk beginning saying wow trash cant even listen lmaoo,2
392,need sox fuck yeah love kinky scally lad rank sox sneak,1
393,dont ever expose female like thats childish bitch nigga shiiii,1
394,yasss try new thing bestfriend bitch love,1
395,dude remember wop video omg find,2
396,thick raw fuck damn man pussy getting workout,1
397,rawr sexy french scally love sexy scally woof woof,2
398,nothin life free bitch need write panty,1
399,one bitch want burrito catch potosino huh haha,1
400,nigga whole hoe cuz couldnt said better,1
401,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitch,1
402,fade perpetually fresher thats real bitch rite,1
403,annoying bitch love judyanns pretty,1
404,lmao bitch got huggies,1
405,bitch bitch bye bitch,1
406,look like bitch,1
407,chase money hoe,1
408,cant stand dont know want nigga bitch,1
409,way love hot sexy scally fucker,1
410,newly gay bitch dont kno shit work,1
411,bitch dont want real job become stripper lol lol,1
412,meat feelinsi ainn feeling bitch,1
413,want snake bite industrial piercin amp tattoodem hoe accessory dea,1
414,baby albino,2
415,hoe aint loyal,1
416,yassssss ordered chinese bitch ate taco fat fuck,1
417,made bitch lunch bitch love lunch,1
418,brainer soon bitch get rich political power view change political whore,1
419,pussy day keep devil away,1
420,aint bitch mean,1
421,bitch want baby dont want child,1
422,bitch must lost,1
423,baby like left side bitch cant cuz street side twitter said aint real,1
424,bae sound like ghetto word use something else,2
425,batter wee cunt jewis fucked emma isnt battering girl ive nailedive moved onstop pussy urself,1
426,bleed hoe alexa,1
427,boolin bando wit bitch,1
428,brownie brownie love movie,2
429,need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday,1
430,way punch bitch,1
431,caesar home much bitch look like let start ape shit,1
432,chinese maverick communicating comrade know giving imperialist yank birdie,2
433,dad say snapchat dad duce bitch,1
434,believe hoe fact loyal disagree believe fact loyalest bunchthese hoe,1
435,dont know ugly bitch dont know broke nigga,1
436,dont make make fall live nigga like meee bird amp favorite song weeknd,1
437,dont worry nigga see worry nigga dont see dat nigga fuckin bitch,0
438,dont ever give pussy away keep tight alright,1
439,dropped stack cause bitch song called dope download mixtape,1
440,dumb bitch dumb thing,1
441,eat pussy like real nigga hungry,1
442,eff let cripple,1
443,everything look better bitch next,1
444,facto care hoe look like,1
445,every bad bitch nigga tired fucking,1
446,foreign chick lie man bitch beautiful,1
447,fresh nigga kno need clean bitch kno working cuz wan see team rich,1
448,fuck make rule suck dragon ball bitch call goku,1
449,generate ascii box nodejs see ability bring flappybird node ascii tube bird,2
450,get shit bitch fine bear,1
451,get back detroit fuckin wigger,1
452,girl dated okay aint mad unless stabbed heart love hoe,1
453,know twitter password bitch please,1
454,seen show seen hoe wasnt hot would thick,1
455,bitch hitting hoe,1
456,married white woman lucky sumbitch uncle ruckus,1
457,wan nigga trinna saving account omg imma funny bitch man thats real shit,1
458,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyone,1
459,hey look video man found kidnapped girl ohiowhat nigger,0
460,hey pussy still,1
461,draft gungho folk send afghanistan war zone show,2
462,hotter bitch,1
463,talking hoe bout bro talking hoe bout bro,1
464,crazy bitch hilarious,1
465,know shoe dirty fuck whatever bitch dont call like negro one first thing look shoe dog,1
466,thrill billywith hillbilly heart hahahahaha jesus murphy,2
467,call bitch,1
468,cant handle liquor bitch cant handle meeedd chief sosa,1
469,dont chase dude chase bitch edgar bautista,1
470,dont love hoe baby forever,1
471,dont even need picture tamar bitch beat every picture,1
472,dont hoe,1
473,found new way chug open mouth alot,2
474,fucking hate bitch much wan smack face tongue kiss,1
475,got bitch set like jada picketqueen latifah riding round niece bitch titi,1
476,got sister told stop calling woman bitch,1
477,guess night bitch die stewie nigga,1
478,bitch bitch bitch eating halibut,1
479,ladylove shes married still wan bang wont sex bitch troubadour probably,1
480,heard looking candy man bitch,1
481,hope dont get mad lady call bitch bitch dont know name individually katt williams,1
482,got number bitch boy,1
483,know shit eatin grin either fucked girl dream sold car know youre faggot whatd sell,1
484,older men cause theyre mature supposed fool bitch,1
485,prolly leave bitch cup hand hand hand,1
486,said dont like taste like wolf pussy even know taste like,1
487,taught eat pussy cut hair taught eat pussy hair name movie,1
488,used dress like cop really yeahright mad pussy really yesill never forget,1
489,went jail flock amp came home wit strike went jail bitch came home dike,1
490,fuck stand dizzy bitch two unique amp separate phrase overheard relative saying younger,1
491,woke like thi bitch back bed,1
492,would rather call bitch sir manager,1
493,ill beat pussy hard,1
494,ill slit throatneck,2
495,funky honkey shout tonight cabaret,1
496,comparing kfc pussy,1
497,downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot,1
498,feelin like malcolm middle bitch surround cant miss,1
499,gon piss dimple stop wasting prayer trash team lol,1
500,probably main bitch chocolate dipped cinnamon apple,1
501,sick shit man sit bitch fed bro geno threw yet another pick smh,1
502,sorry fucked bitch really dig nigga,1
503,ibs irritable bitch syndrome,1
504,love hide bitch youll keep shorty,1
505,talk back aint getting pussy,1
506,youre bad bitch put hand high every girl room start waving hand around,1
507,imma tie bitch basement donkeyfuck two week straight hahahahahahahahaha,1
508,mind got dumb hoe anthem,1
509,albino mexican dad asian,2
510,take true directioner accept larry know bitch fan like make boy cry,1
511,allegation bedroom see word naive amp blind bitch know husband cheated ramona dumb,1
512,never late tag bitch,1
513,dyke hunter dyke dyke,1
514,julia robert youre,1
515,follow yellow brick twitter,2
516,lmfaoooooooooooooooooo pussy good mama dont like guess got gomy mama,1
517,lol cripple wendy davis scientist create remotecontrolled chick study shy penguin,2
518,let nip ahoy spank maybe,1
519,let kill cracker baby wtf hear wow,0
520,like correct wrong doesnt pimpin involve smackin bitch money,1
521,lmao pound cake look like pussy,1
522,lmao drose adidas lighter phone shit retarded,1
523,mam rene doet haar rol net ongesteld wat ongesteld van dat soort vragen waar denkt hoe leg die weer uit,2
524,maybe want friend maybe shes stupid bitch never know make cum,1
525,mine play dmx kirk franklin smh well neighbor ghetto get like beat kid,2
526,grandma used call porch monkey time come think refer broken bottle nigger knife,0
527,momma told tell mind yoooo damn motha fuckin business knowin bitch,1
528,nip freeeeezingand thats okay theyre slicing bra,1
529,twitter hacked pussy admit said want act like never said,1
530,nah girl aint gon able make tight since rus loss job back like damn bitch really,1
531,nah thought photoshopped face faggot smmfhi hate yall,0
532,new flame song lol bitch super run like,1
533,nigga always yelling fuck bitch get money meanwhile theyre broke still want bitch,1
534,nigga pressed pussy eeeeeen nothin,1
535,bitch nan,1
536,boat hoe please thanks mom,1
537,ovo amp kendrick lamar still trash,2
538,top pregnant sorry hoe aint never got money even water broke,1
539,couple red sox gotten past first base dying laughing maybe yank need teach game,2
540,people time aryan race stand say mongerls turn world ghetto slum,0
541,pistol whip dickau shoot bitch club sometimes freestyle freestyle okay,1
542,please thanks pierced pussy come across timeline,1
543,remy machiavelli send shot belly bitch,1
544,roberto one nasty hoe,1
545,sorry fanreally justin come back top comment justin timberlake video million view son fucking bitch,1
546,searching incredible story white man quest find ingredient necessary make caribbean jerked chicken redneck land,1
547,selling soul material wish fast car bitch,1
548,shake bear aka two redneck sex dead bear,1
549,shall compare thee summer day summer day bitch,1
550,got shape pussy lip tho whole wheat organic pussy,1
551,said wigga man richtake durag,1
552,bitch anyway,1
553,shes florida youve got sniff test swamp pussy,1
554,slow fuck bitch know live classy young lady,1
555,good football playerbut still act like nig,1
556,stop pussy son shove needle heart,1
557,stop looking eat pussy yuppie fuck,1
558,takin straight dirt finger pussy know put dick,1
559,aint bro move thats hoe move,1
560,girl plain looking borderline ugly amp chunky hey least shes got nice smile amp great personality,1
561,devil grows inside heart selfish wicked white brown yellow black color restricted,2
562,water isnt yellow healthy student,2
563,hoe aint loyal,1
564,hoe keep callin aint pickin,1
565,sour apple bitter bitch fuckin wit,0
566,faggot oriole petty fuckgot swept outta bitch,1
567,ghetto band get snuck,1
568,division trash saint gon win nfc southwatch,2
569,fan waited bitch nigga hated old hoe dated look mama,1
570,ghetto motherfucker missy elliott,1
571,recipe call leftover brownie hell leftover brownie thats brownie havent eaten yet,2
572,ratchet broad dont represent white cant talk trash cause racist shit black,1
573,trust noneeee bitch dont,1
574,twitter twitter bitch twitter life,1
575,two road diverged yellow wood chose one jtunheimr robert frost giant,2
576,got bitch niggaal haymon antonio tarver,1
577,uhuh empty heart empty bottle yellow cab would like catch cuz latest made mad,1
578,used girlfriend got hoe lookin good girl fuckin low,1
579,virgin pussy regular pussy oomf pussy,1
580,whaaaaaat lmaooo thats luv fat bitch cuz yall got big ole titty phat booty,1
581,walked bitch like nigga made,1
582,hate nigger hate faggot hate spicskkk rally,0
583,queer hut like butt,0
584,well bitch biology said,1
585,got report spam lady head game better pussy,1
586,done hoe pas squad,1
587,fuck callin jiggaboo nigga,0
588,people think gay marriage okay beyond sorry dont want future son seeing fag walking street holding hand,0
589,little bitch chris aint six bitch allisons mom,1
590,would want play pussy dead,1
591,would wan green ranger evil duh bitch,1
592,would want pussy side burn thats good question hahahahaha,1
593,shank bitch ceviche,1
594,work get rough day hahaha,1
595,wow bitch yes thats already established anything else say,1
596,yall forget brand new baby girl home bitch cooky burning,1
597,yah said word mtzraymegyptians people ysrahal inheritance kushiteethiopians,2
598,yaoooooooo mawnin yardie,2
599,bitch horn tryna shoot porn thats shirt worthy tony,1
600,sublet pussy,1
601,foot smell like pus whut like flower bitch omg,1
602,mama bitch one sentence ended relationship,1
603,aint gunna shit spear chucker,0
604,aint bitch favorite response long text,1
605,boy pussy cat,1
606,cunt,1
607,pull pussy dodge collect panty alright stormy jake,1
608,take someone ghetto cant take ghetto,1
609,dont like colored folk hell youre colored white fuck,1
610,got hella hoe,1
611,hit light line toco bell morning diana back house miracle charlie,2
612,look cute today really helll swerve hoe,1
613,look like little bird help get dressed morning,2
614,trout mouth bitch deeeeaaaadd,0
615,talk like fag shit retarded thats cool scro lot tards living total kickass life,1
616,took land could make retarded diaper sureuse imagecool,1
617,youre garden rose bitch weed,1
618,youre fucked shit dumb cunt post picture flat titty slut,1
619,queer,1
620,homeboy looking bad giving cash hoe,1
621,teeth like star aww thanks yeah yellow far away,2
622,yup fuck playing like trash clipper dont wan play lol,1
623,aint time hoe get lol ariana mom say,1
624,bitch,1
625,ayo even kill handicapped crippled bitcheslook scalp real close youll see triple six,0
626,bitch freak shit,1
627,bitch vagina little resilient,1
628,love nah bitch aint love,1
629,pussy root drama attribute put head mama,1
630,call keyshawn johnson cause catchin erry hoe,1
631,captain save hoe annoying phrase,1
632,day judgement everybody gon looking big jumbotron watching fuck majjinn buu bitch,1
633,dont let side bitch settle might headbutt evelyn,1
634,dont show bitch unless look like dolly parton,1
635,fuck pussy hater suck dick die quick someone youtube comment think wed good friend,0
636,hick raver venn diagram large intersection,2
637,hoe suck dick look like john stockton hit wit choppa luke fatherrr,1
638,wasnt work place deck aye fucking right give tyson combo end uppercut shut fuck bitch,1
639,suck dick dip shes keeper true redneck woman kims dad,1
640,gon rip bitch apart rip apart lol,1
641,britney bitch bible leviticus,1
642,nigga bitch bitch nigga dike hoe black bright hoe fag tag scally wag,1
643,pussy tryna studio dont call mufuckin crib like god word god bus shit god word,1
644,hoe think cute skin tight cat suit assuming body boomin dispute,1
645,omg bitch fucking stupid swear blah blah blah week later omg ilysm bae best friend swear,1
646,way fuck bitch name lord race,0
647,poor whitey,0
648,riding bros still dont trust hoe,1
649,weekend going fabulous naa man youre seeing nae cunt theyll koed second flat hate,1
